mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
11,-18,bottom,mesocosm,fine,ol_yes,Barley,plant_yes,22400.8701515151,245.839801749604,8.36285230402906,52.3565730227873,10828.7608619347,2147.20972483945,233.731988185364,13.9833427085428,73.5164858673555,50.0716836789072
12,-2,surface,mesocosm,coarse,ol_yes,Wheat,plant_yes,29192.7648142057,231.813867950527,13.2954997749012,154.73117263274,12894.8995419128,22691.0697158946,306.413746513769,136.358374590851,81.1642083474409,49.6109340368968
12,-10,middle,mesocosm,coarse,ol_yes,Wheat,plant_yes,20636.3939802145,233.885830399267,7.51839737553333,67.5336555376667,12917.7889693203,1549.98993202987,278.726177020596,8.84644588820585,110.744407757516,57.4791509643431
12,-18,bottom,mesocosm,coarse,ol_yes,Wheat,plant_yes,15647.9174062788,237.828179582874,7.16716793035594,61.0167956725991,9666.20860729068,891.325593126654,205.447790751461,6.13138144791538,64.6398760477831,48.9820391858275
13,-2,surface,mesocosm,none,ol_no,Barley,plant_yes,16146.8498100563,239.840964136965,7.87703389592246,46.1101883399064,11146.8281549509,1096.72941758928,225.129423596185,7.39471058233229,62.8001552574596,55.5726508876619
13,-10,middle,mesocosm,none,ol_no,Barley,plant_yes,17487.0478490591,247.985567170329,7.65417127190789,60.4977434582237,10373.7613169794,959.918786587916,221.336160769446,7.77522138662518,73.461362717517,51.9880500482038
13,-18,bottom,mesocosm,none,ol_no,Barley,plant_yes,14416.2535622143,231.535675032427,7.48290269118037,42.6198444671751,10355.1647696818,896.973969703383,224.82780747807,6.50543299588449,61.0965588868133,52.752142865425
14,-2,surface,mesocosm,coarse,ol_yes,Wheat,plant_yes,22740.4453562878,163.745084072119,35.2135347240397,285.158355600331,22243.054750424,108283.05872155,397.653962394714,653.933840016872,71.0855801525077,45.7433542189009
14,-10,middle,mesocosm,coarse,ol_yes,Wheat,plant_yes,29605.6437287353,271.080140320462,8.04643377726055,57.1825799403885,12712.425177197,2197.65767934637,262.744818123961,10.2352349555155,73.882573923476,57.0935984046131
14,-18,bottom,mesocosm,coarse,ol_yes,Wheat,plant_yes,18620.2064337374,244.43967169014,8.70139706179813,50.2881312840909,11170.5861348266,815.057023773826,243.947647132176,8.58209879889569,68.1031820799131,90.5859978325918
15,-2,surface,mesocosm,fine,ol_yes,Wheat,plant_yes,28786.3358945766,211.059671846865,26.6693299262508,472.667055237492,19087.8023994958,67377.3951703348,397.645426082748,412.658980337875,89.6138620296436,53.3337348523004
15,-10,middle,mesocosm,fine,ol_yes,Wheat,plant_yes,14801.6389463176,231.681614175083,9.42077997628419,53.757790460974,12286.2021525531,1683.31070971796,281.457513546104,11.615221952572,67.5898364476909,183.30136359619
